Quote,Author,Tag
Everything you can imagine is real.,Pablo Picasso,art
"Eleanor was right. She never looked nice. She looked like art, and art wasn't supposed to look nice; it was supposed to make you feel something.",Rainbow Rowell,art
"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.",George Bernard Shaw,art
You must have chaos within you to give birth to a dancing star.,Friedrich Nietzsche,art
"It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.",Vincent Van Gogh,art
The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.,Albert Einstein,art
"A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.",Leonardo da Vinci,art
I dream my painting and I paint my dream.,Vincent Willem van Gogh,art
"If you want to really hurt you parents, and you don't have the nerve to be gay, the least you can do is go into the arts. I'm not kidding. The arts are not a way to make a living. They are a very human way of making life more bearable. Practicing an art, no matter how well or badly, is a way to make your soul grow, for heaven's sake. Sing in the shower. Dance to the radio. Tell stories. Write a poem to a friend, even a lousy poem. Do it as well as you possible can. You will get an enormous reward. You will have created something.",Kurt Vonnegut,art
"One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.",Johann Wolfgang von Goethe,art
Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.,Clive Barker,art
"I am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. I am so thirsty for the marvelous that only the marvelous has power over me. Anything I can not transform into something marvelous, I let go. Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.",Anais Nin,art
"If you ask me what I came to do in this world, I, an artist, will answer you: I am here to live out loud.",Émile Zola,art
Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,Chuck Klosterman,art
Art enables us to find ourselves and lose ourselves at the same time.,Thomas Merton,art
"...and then, I have nature and art and poetry, and if that is not enough, what is enough?",Vincent Willem van Gogh,art
Art washes away from the soul the dust of everyday life.,Pablo Picasso,art
Do you not see how necessary a world of pains and troubles is to school an intelligence and make it a soul?,John Keats,art
"A man should hear a little music, read a little poetry, and see a fine picture every day of his life, in order that worldly cares may not obliterate the sense of the beautiful which God has implanted in the human soul.",Johann Wolfgang von Goethe,art
"Life doesn't imitate art, it imitates bad television.",Woody Allen,art
"Even in literature and art, no man who bothers about originality will ever be original: whereas if you simply try to tell the truth (without caring twopence how often it has been told before) you will, nine times out of ten, become original without ever having noticed it.",C.S. Lewis,art
