Quote,Author,Tag
"In short: I felt my existence was tainted, in some subtle but essential way.",Donna Tartt,donna-tartt
"Are you always up this early?' I asked him. 'Almost always,' he said without looking up. 'It's beautiful here, but morning light can make the most vulgar things tolerable.",Donna Tartt,donna-tartt
"But one mustn't underestimate the primal appeal—to lose one's self, lose it utterly. And in losing it be born to the principle of continuous life, outside the prison of mortality and time.",Donna Tartt,donna-tartt
"It is a terrible thing to learn as a child that one is a being separate from all the world, that no one and no thing hurts along with one's burned tongues and skinned knees, that one's aches and pains are all one's own. Even more terrible, as we grow older, to learn that no person, no matter how beloved, can ever truly understand us. Our own selves make us most unhappy, and that's why we're so anxious to lose them...",Donna Tartt,donna-tartt
There is nothing wrong with the love of Beauty. But Beauty -unless she is wed to something more meaningful -is always superficial,Donna Tartt,donna-tartt
There's no 'rational grounds' for anything I care about.,Donna Tartt,donna-tartt
"I believe having a great diversity of teachers is harmful and confusing for a young mind, in the same way I believe that it is better to know one book intimately than a hundred superficially",Donna Tartt,donna-tartt
"It is a terrible thing to learn as a child that one is a being separate from the world, that no one and no thing hurts along with one's burned tongues and skinned knees, that one's aches and pains are all one’s own. Even more terrible, as we grow old, to learn that no person, no matter how beloved, can ever truly understand us.",Donna Tartt,donna-tartt
"Though Julian could be marvelously kind in difficult circumstances of all sorts, I sometimes got the feeling that he was less pleased by kindness itself than by the elegance of the gesture.",Donna Tartt,donna-tartt
"But walking through it all was one thing; walking away, unfortunately, has proved to be quite another, and though once I thought I had left that ravine forever on an April afternoon long ago, now I am not so sure. Now the searchers have departed, and life has grown quiet around me, I have come to realize that while for years I might have imagined myself to be somewhere else, in reality I have been there all the time: up at the top by the muddy wheel-ruts in the new grass, where the sky is dark over the shivering apple blossoms and the first chill of the snow that will fall that night is already in the air.",Donna Tartt,donna-tartt
"We had not spoken about the incident in my room several nights before and, in the drowsy silence of the car, I felt the need to make things plain. “You know, Francis,” I said. “What?” It seemed the best thing was just to come right out and say it. “You know,” I said, “I’m really not attracted to you. I mean, not that—” “Isn’t that interesting,” he said coolly. “I’m really not attracted to you, either.” “But—” “You were there.” We drove the rest of the way to school in a not very comfortable silence.",Donna Tartt,donna-tartt
"Though not untidy, exactly, it verged on being so. Books were stacked on every available surface; the tables were cluttered papers, ashtrays, bottles of whiskey, boxes of chocolates; umbrellas and galoshes made passage difficult in the narrow hall… Camilla’s night table was littered with empty teacups, leaky pens, dead marigolds in a water glass, and at the foot of her bed was a half-played game of solitaire… everywhere I looked was some fresh oddity: an old stereopticon, arrowheads in a dusty glass case, a staghorn fern, a bird’s skeleton…",Donna Tartt,donna-tartt
"...And besides, is death really so terrible a thing? It seems terrible to you, because you are young, but who is to say he is not better off now than you are? Or - if death is a journey to another place - that you will not see him again?",Donna Tartt,donna-tartt
"Well, it's not called a mystery for nothing,"" said Henry sourly. ""Take my word for it. But one mustn't underestimate the primal appeal to lose one's self, lose it utterly. And in losing it be born to the principle of continuous life, outside the prison of mortality and time. That was attractive to me from the first, even when I knew nothing about the topic and approached it less as potential mystes than anthropologist. Ancient commentators are very circumspect about the whole thing. It was possible, with a great deal of work, to figure out some of the sacred rituals-the hymns, the sacred objects, what to wear and do and say. More difficult was the mystery itself: how did one propel oneself into such a state, what was the catalyst?"" His voice was dreamy, amused. ""We tried everything. Drink, drugs, prayer, even small doses of poison.",Donna Tartt,donna-tartt
