Quote,Author,Tag
I envy people that know love. That have someone who takes them as they are.,Jess C Scott,gothic
"There is something at work in my soul, which I do not understand.",Mary Shelley,gothic
"But to die as lovers may - to die together, so that they may live together.",Joseph Sheridan Le Fanu,gothic
"If your dear heart is wounded, my wild heart bleeds with yours.",Joseph Sheridan Le Fanu,gothic
Some ghosts are so quiet you would hardly know they were there.,Bernie Mcgill,gothic
"One hand was behind his back, and he held it out, presenting a bouquet of white and smoky purple lilies. “They’re straight from the underworld, by the way. They are everlasting. They won’t die.",Jess C Scott,gothic
"This tower, patched unevenly with black ivy, arose like a mutilated finger from among the fists of knuckled masonry and pointed blasphemously at heaven. At night the owls made of it an echoing throat; by day it stood voiceless and cast its long shadow.",Mervyn Peake,gothic
"Oh, he did look like a deity – the perfect balance of danger and charm, he was at the same time fascinating and inaccessible, distant because of his demonstrated flawlessness, and possessing such strength of character that he was dismaying and at the same time utterly attractive in an enticing and forbidden way.",Simona Panova,gothic
"I have lost the faculty of enjoying their destruction, and I am too idle to destroy for nothing.",Emily Brontë,gothic
"She used to place her pretty arms about my neck, draw me to her, and laying her cheek to mine, murmur with her lips near my ear, “Dearest, your little heart is wounded; think me not cruel because I obey the irresistible law of my strength and weakness; if your dear heart is wounded, my wild heart bleeds with yours. In the rapture of my enormous humiliation I live in your warm life, and you shall die—die, sweetly die—into mine. I cannot help it; as I draw near to you, you, in your turn, will draw near to others, and learn the rapture of that cruelty, which yet is love; so, for a while, seek to know no more of me and mine, but trust me with all your loving spirit.” And when she had spoken such a rhapsody, she would press me more closely in her trembling embrace, and her lips in soft kisses gently glow upon my cheek.",Sheridan Le Fanu,gothic
"Everybody is equally weak on the inside, just that some present their ruins as new castles and become kings –",Simona Panova,gothic
"The world might indeed be a cursed circle; the snake swallowed its tail and there could be no end, only an eternal ruination and endless devouring.",Silvia Moreno-Garcia,gothic
"All is as if the world did cease to exist. The city's monuments go unseen, its past unheard, and its culture slowly fading in the dismal sea.",Nathan Reese Maher,gothic
"Girls are caterpillars while they live in the world, to be finally butterflies when the summer comes; but in the meantime there are grubs and larvae, don't you see - each with their peculiar propensities, necessities and structure.",Joseph Sheridan Le Fanu,gothic
"She mediated, by turns, on broken promises and broken arches, phaetons and false hangings, Tilneys and trap-doors.",Jane Austen,gothic
"They told of dripping stone walls in uninhabited castles and of ivy-clad monastery ruins by moonlight, of locked inner rooms and secret dungeons, dank charnel houses and overgrown graveyards, of footsteps creaking upon staircases and fingers tapping at casements, of howlings and shriekings, groanings and scuttlings and the clanking of chains, of hooded monks and headless horseman, swirling mists and sudden winds, insubstantial specters and sheeted creatures, vampires and bloodhounds, bats and rats and spiders, of men found at dawn and women turned white-haired and raving lunatic, and of vanished corpses and curses upon heirs.",Susan Hill,gothic
"If I were dead, I wouldn't be sad, and I wouldn't be glad, because I wouldn't be.",Marcus Sedgwick,gothic
"It isn't fair, it isn't right,"" Mrs. Hutchinson screamed, and then they were upon her.",Shirley Jackson,gothic
The Only Way Out Is To DIE!!!!,Bullet For My Valentine,gothic
"Open your eyes, Ambrosio, and be prudent. Hell is your lot; You are doomed to eternal perdition; Nought lies beyond your grave but a gulph of devouring flames.",Matthew Gregory Lewis,gothic
"Emotions don’t interfere in my acting, nor in my life.",Simona Panova,gothic
You kissed me once and now you feel as if you’ve got some special kind of licence to do it whenever you want?,Simona Panova,gothic
"Don't resent me when I've only just gotten you, please, for I am what makes this world beautiful.",Adalyn  Grace,gothic
"You are not cursed-you are a reaper. You are the night incarnate, the ferrier of souls. You are the bridge between the living and the dead—a caged bird that's ready to fly. So spread your wings, Signa Farrow, because you are limitless. Spread your wings, and oh, how we'll fly.",Adalyn  Grace,gothic
(speaking of Ann Radcliffe) A work of art worthy of the name is one which gives us back the freshness of the emotions of childhood.,André Breton,gothic
"Ellie, would you frolic in the land of forever with me?",Rae Hachton,gothic
"After killing the red-haired man, I took myself off to Quinn’s for an oyster supper.",Michael Cox,gothic
"Walk with this tomorrow night. If nothing happens, then don’t come back. Forget about us, this place, but if you feel the Nightwalker in you awaken, then return to where you belong. Return to me, and the streets will run red with blood.",Keith Kekic,gothic
"Some believe that every library looks like a splendid cemetery of human thoughts and ideas. Could librarians be called grave-diggers? However that may be, like a cemetery, a library will never stop being of use.",Lara Biyuts,gothic
"Once upon a time it was not safe to be born a girl. It is important to remember that time does not exist. Once upon a time, all of time, it was not safe to be a girl. Lecherous men would disguise themselves as kittens left for dead by their mothers so that little girls would pick them up and kiss their eyes into vision and then the kittens would grow and grow until they were bigger and fiercer than lions and they would eat the girls in one bite, bones and skin and hair and all. Once upon a time it was not safe to be born a girl because either you were the kitten abandoned in a dumpster or you were devoured by it. Once upon a time it was not safe to be a girl because girls have fires inside of them and men who are cold cling to their warmth until they leech it from the bones of women and then burn them to death with their own matches.",Erin Emily Ann Vance,gothic
"I have a, shall we say, morbid personality.",Novala Takemoto,gothic
There was something awesome in the thought of the solitary mortal standing by the open window and summoning in from the gloom outside the spirits of the nether world.,Arthur Conan Doyle,gothic
