Quote,Author,Tag
Be yourself; everyone else is already taken.,Oscar Wilde,inspirational
"You've gotta dance like there's nobody watching, Love like you'll never be hurt, Sing like there's nobody listening, And live like it's heaven on earth.",William W. Purkey,inspirational
Be the change that you wish to see in the world.,Mahatma Gandhi,inspirational
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Martin Luther King Jr.,inspirational
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,inspirational
We accept the love we think we deserve.,Stephen Chbosky,inspirational
"Without music, life would be a mistake.",Friedrich Nietzsche,inspirational
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,inspirational
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,inspirational
"We are all in the gutter, but some of us are looking at the stars.",Oscar Wilde,inspirational
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",Neil Gaiman,inspirational
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bill Keane,inspirational
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,inspirational
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,inspirational
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,Dr. Seuss,inspirational
It is never too late to be what you might have been.,George Eliot,inspirational
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,inspirational
There is no greater agony than bearing an untold story inside you.,Maya Angelou,inspirational
Everything you can imagine is real.,Pablo Picasso,inspirational
You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,inspirational
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,inspirational
"To the well-organized mind, death is but the next great adventure.",J.K. Rowling,inspirational
"Do what you can, with what you have, where you are.",Theodore Roosevelt,inspirational
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston S. Churchill,inspirational
"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.",Stephen Chbosky,inspirational
"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",Shel Silverstein,inspirational
"And, when you want something, all the universe conspires in helping you to achieve it.",Paulo Coelho,inspirational
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,inspirational
"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.",Marianne Williamson,inspirational
"It’s no use going back to yesterday, because I was a different person then.",Lewis Carroll,inspirational
It's the possibility of having a dream come true that makes life interesting.,Paulo Coelho,inspirational
"What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.",Maya Angelou,inspirational
"He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.",Bob Marley,inspirational
"A person's a person, no matter how small.",Dr. Seuss,inspirational
"When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.",Henri Nouwen,inspirational
"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.",Nicholas Sparks,inspirational
