Quote,Author,Tag
"Many boys will bring you flowers. But someday you'll meet a boy who will learn your favorite flower, your favorite song, your favorite sweet. And even if he is too poor to give you any of them, it won't matter because he will have taken the time to know you as no one else does. Only that boy earns your heart.",Leigh Bardugo,leigh-bardugo
"He needed to tell her...what? That she was lovely and brave and better than anything he deserved. That he was twisted, crooked, wrong, but not so broken that he couldn't pull himself together into some semblance of a man for her. That without meaning to, he'd begun to lean on her, to look for her, to need her near. He needed to thank her for his new hat.",Leigh Bardugo,leigh-bardugo
"Crows remember human faces. They remember the people who feed them, who are kind to them. And the people who wrong them too. They don’t forget. They tell each other who to look after and who to watch out for.",Leigh Bardugo,leigh-bardugo
"She smiled then, her eyes red, her cheeks scattered with some kind of dust. It was a smile he thought he might die to earn again.",Leigh Bardugo,leigh-bardugo
I'm the Sun Summoner. It gets dark when I say it does.,Leigh Bardugo,leigh-bardugo
"Most women suffer thorns for the sake of the flowers, but we who wield power adorn ourselves with flowers to hide the sting of our thorns",Leigh Bardugo,leigh-bardugo
"Nikolai had been told that hope was dangerous, had been warned of it many times. But he’d never believed that. Hope was the wind that came from nowhere to fill your sails and carry you home.",Leigh Bardugo,leigh-bardugo
What doesn't kill me better run. - Kaz,Leigh Bardugo,leigh-bardugo
"This is what love does. In the stories, love healed your wounds, fixed what was broken, allowed you to go on. But love wasn’t a spell, some kind of benediction to be whispered, a balm or a cure-all. It was a single, fragile thread, which grew stronger through connection, through shared hardship and trust.",Leigh Bardugo,leigh-bardugo
Hope was tricky like water. Somehow it always found a way in.,Leigh Bardugo,leigh-bardugo
That was what magic did. It revealed the heart of who you'd been before life took away your belief in the possible. It gave back the world all lonely children longed for.,Leigh Bardugo,leigh-bardugo
You are strong enough to survive the fall,Leigh Bardugo,leigh-bardugo
"There was no part of him that was not broken, that had not healed wrong, and there was no part of him that was not stronger for having been broken. No one knew who he was. No one knew where he came from. He'd become Kaz Brekker, cripple and confidence man, bastard of the Barrel. The gloves were his one concession to weakness. Since that night among the bodies and the swim from the Reaper's Barge, he had not been able to bear the feeling of skin against skin. It was excruciating to him, revolting. It was the only piece of his past that he could not forge into something dangerous.",Leigh Bardugo,leigh-bardugo
"Will you say it? ""Aleksander"" His grin faded and his grey eyes seemed to flicker. ""Again."" ""Aleksander",Leigh Bardugo,leigh-bardugo
"Kaz reached into his coat pocket. ""Here,"" he said and handed Jesper a slender book with an elaborate cover. ""Are we going to read to each other?"" ""Just flip it open to the back."" Jesper opened the book and peered at the last page, puzzled. ""So?"" ""Hold it up so we don't have to look at your ugly face."" ""My face has character. Besides - oh!"" ""An excellent read, isn't it?"" ""Who knew I had a taste for literature?",Leigh Bardugo,leigh-bardugo
"And maybe he wanted her to be the kind of girl who dressed as Queen Mab, who loved words and had stars in her blood.",Leigh Bardugo,leigh-bardugo
"I want you to know my name. The name I was given, not the title I took for myself. Will you have it? ""Yes"" ""Aleksander",Leigh Bardugo,leigh-bardugo
Fight me as long as you're able. You will find I have far more practice with eternity,Leigh Bardugo,leigh-bardugo
"There are rumors that your Lantsov prince has been sighted.” I drifted nearer, trying to keep my voice casual. “Where?” He glanced up, his lips curling in a slight smile. “Do you like him?” “Does it matter?” “It’s harder when you like them. You mourn them more.” “Tell me, Alina,” said the Darkling. “Has he claimed you yet?” “Claimed me? Like a peninsula?” “No blushes. No averted eyes. How you’ve changed. What about your faithful tracker? Will he sleep curled at the foot of your throne?",Leigh Bardugo,leigh-bardugo
"What is she to you anyway?"" ""Here's my answer captain. She's the thing that made this all okay-the threadbare coats and the old boots and the guns that jams when you most need them to fire, the loneliness of knowing that you don't matter, that you will never matter, the fact that you're just another body, another uniform to be sent into the fold or the frost, another good boy who knows his place, who does his job, who doesn't ask questions, who will lie down and die and be forgotten. What is she? She's everything, you dumb son of a bitch.",Leigh Bardugo,leigh-bardugo
"He looked down at his boots. ""That berth belongs to you too. It will always be there when","if you want to come back."" Inej could not speak. Her heart felt too full",leigh-bardugo
"The trap is loneliness, and none of us escapes it. Not even me.",Leigh Bardugo,leigh-bardugo
I know who I am without anyone there to tell me.,Leigh Bardugo,leigh-bardugo
"I will tell you a story, one I used to tell to a little boy with dark hair. A silent boy who rarely laughs, who listened more closely than I realized. A boy who had a name and not a title",Leigh Bardugo,leigh-bardugo
"I’ve been waiting for you a long time, Alina,” he said. “You and I are going to change the world.",Leigh Bardugo,leigh-bardugo
"Just… be careful.’ I stared at her, baffled. 'Of what?’ 'Of powerful men.",Leigh Bardugo,leigh-bardugo
"But if you loved a thing, the work was never done",Leigh Bardugo,leigh-bardugo
"You were meant to be my balance Aline. You are the only person in the world who might rule with me, who might keep my powers in check",Leigh Bardugo,leigh-bardugo
"I’m also Sturmhond, commander of the Volkvony, scourge of the True Sea.’ 'Scourge?’ 'Well, I’m vexing at the very least.",Leigh Bardugo,leigh-bardugo
"I roll my eyes. ""Well, if I plan on doing anything exciting I promise to give fair warning so just...take a nap or something.",Leigh Bardugo,leigh-bardugo
"No, little brother. No one is stronger. You've cheated death too many times. Greed may do your bidding, but death serves no man.",Leigh Bardugo,leigh-bardugo
We all have spaces we keep blank.,Leigh Bardugo,leigh-bardugo
"Pekka Rollins couldn't count the threats he'd heard, the men he'd killed, or the men he'd seen die, but the look in Brekker's eye still sent a chill slithering up his spine. Some wrathful thing in this boy was beginning to get loose, and Rollin's didn't want to be around when it slipped its leash.",Leigh Bardugo,leigh-bardugo
"He made himself refocus on Inej's feet. ""Saints,"" he said. Inej grimaced. ""That bad?"" ""No, you just have really ugly feet."" ""Ugly feet that got you on this roof.",Leigh Bardugo,leigh-bardugo
"Magic doesn’t require beauty,’ she said. 'Easy magic is pretty. Great magic asks that you trouble the waters. It requires a disruption, something new.",Leigh Bardugo,leigh-bardugo
"Kaz heard Wylan retching. He tossed the eyeball overboard and jammed his spit-soaked handkerchief into the socket where Oomen's eye had been. Then he grabbed Oomen's jaw, his gloves leaving red smears on the enforcer's chin. His actions were smooth, precise, as if he were dealing cards at the Crow Club or picking an easy lock, but his rage felt hot and mad and unfamiliar. Something within him had torn loose.",Leigh Bardugo,leigh-bardugo
"Wanting is why people get up in the morning. It gives them something to dream of at night. The more I wanted, the more I became like them, the more real I became.",Leigh Bardugo,leigh-bardugo
"The Darkling smiled, but this time the turn of his lips was cold. He shoved off the table and stalked toward me. “I will enter the Fold, Alina, and I will show West Ravka what I can do, even without the Sun Summoner. And when I have crushed Lantsov’s only ally, I will hunt you like an animal. You will find no sanctuary. You will have no peace.” He loomed over me, his gray eyes glinting. “Fly back home to your otkazat’sya,” he snarled. “Hold him tight. The rules of this game are about to change.",Leigh Bardugo,leigh-bardugo
"It's shame that lines my pockets, shame that keeps the Barrel teeming with fools ready to put on a mask just so they can have what they want with no one the wiser for it. We can endure all kinds of pain. It's shame that eats men whole.",Leigh Bardugo,leigh-bardugo
"She had not been much to look at in her youth, and she knew well that only courage is required for an adventure.",Leigh Bardugo,leigh-bardugo
You were angry. Angry wears off. I needed you righteous.,Leigh Bardugo,leigh-bardugo
"You are strong enough to survive the fall. They were plummeting toward the sea. Zoya felt Genya’s arms around her, Liliyana holding her tight. She felt Nikolai’s presence beside her and Juris’ sword in her hands. With a wild, gasping breath, she felt her wings unfurl.",Leigh Bardugo,leigh-bardugo
"I need to see Jakob Hertzoon."" ""Who?"" Kaz felt like he was about to climb out of his skin. He pointed through the window. ""Jakob fucking Hertzoon. I want to talk to him.",Leigh Bardugo,leigh-bardugo
She was going to leave a trail of blood over the skyline.,Leigh Bardugo,leigh-bardugo
"Sure we do,"" said Theo, swatting at a branch. ""We get to the spring, Alia gets cured. We argue over the best choice for our We Saved The World victory dance."" ""I do enjoy your optimism,"" said Diana. ""And I admire your ability to lift a car over your head without breaking a sweat and look fine as hell doing it,"" said Theo with a bow.",Leigh Bardugo,leigh-bardugo
I am ancient Alina. I know things about power that you can barely guess,Leigh Bardugo,leigh-bardugo
"He'd known even then, though: He'd start as a grunt, but the Dregs would become his army.",Leigh Bardugo,leigh-bardugo
This was the kiss he'd been waiting for. It was a gunshot. It was prairie fire. It was the spin of Makker's Wheel. Jesper felt the pounding of his heart - or was it Wylan's? - like a stampede in his chest.,Leigh Bardugo,leigh-bardugo
You are owed nothing. Steel is earned.,Leigh Bardugo,leigh-bardugo
"The Darkling would not hesitate. He would not grieve. His darkness would consume the world, and he would never waver.",Leigh Bardugo,leigh-bardugo
"I know what you thought, what you always thought of me. It's so much easier that way, isn't it?",Leigh Bardugo,leigh-bardugo
"Kaz snagged her wrist. ""Inej."" His gloved thumb moved over her pulse, traced the top of the feather tattoo. ""If we don't make it out, I want you to know..."" She waited. She felt hope rustling its wings inside her, ready to take flight at the right words from Kaz. She willed that hope in to stillness. Those words would never come. The heart is an arrow. She reached up and touched his cheek. She thought he might flinch again, even knock her hand away. In nearly two years of battling side by side with Kaz, of late-night scheming, impossible heists, clandestine errands, and harried meals of fried potatoes and hutspot gobbled down as they rushed from one place to another, this was the first time she had touched him skin to skin, without the barrier of gloves or coat or shirtsleeve. She let her hand cup his cheek. His skin was cool and damp from the rain. He stayed still, but she saw a tremor pass through him, as if he were waging a war with himself. ""If we don't die this night, I will die unafraid, Kaz. Can you say the same?"" His eyes were nearly black, the pupils dilated. She could see it took every last bit of his terrible will for him to remain still beneath her touch. And yet, he did not pull away. She knew it was the best he could offer. It was not enough. She dropped her hand. He took a deep breath. Kaz had said he didn't want her prayers and she wouldn't speak them, but she wished him safe nonetheless. She had her aim now, her heart had direction, and though it hurt to know that path led away from him, she could endure it.",Leigh Bardugo,leigh-bardugo
"He had become a great beast, and yet that beast would devour him",Leigh Bardugo,leigh-bardugo
Why do you waste all of your strenght fighting your true nauture?,Leigh Bardugo,leigh-bardugo
"Kaz took a handkerchief from his coat pocket and carefully wiped his face clean. He thought of Inej lying still on the table, her slight weight in his arms. ""Hold him,"" he told Jesper and the Fjerdan. Kaz flicked his coat sleeve, and an oyster shucking knife appeared in his hand. At any given time he had at least two knives stashed somewhere in his clothes. He didn't even count this one, really -- a tidy, wicked little blade.",Leigh Bardugo,leigh-bardugo
"Because the whole world loves to tell us what we can’t do, that we aren’t good enough. The people in your own house should be on your side. It’s the people who never learn the word impossible who make history, because they’re the ones who keep trying.",Leigh Bardugo,leigh-bardugo
"I'm sorry we don't visit more often. There's a war on and, well, no one likes you."" The Darkling touched a hand to his chest. ""You wound me."" ""All in good time,"" said Zoya.",Leigh Bardugo,leigh-bardugo
"Matthias knew monsters, and one look at Kaz Brekker had told him this was a creature who had spent too long in the dark- he'd brought something back with him when he crawled in to the light.",Leigh Bardugo,leigh-bardugo
"Human life is worth preserving. But human lives? They come and go like so much chaff, never tipping the scales."" ""What a remarkable calculation,"" said Nikolai. ""And a convenient one for a mass murderer.",Leigh Bardugo,leigh-bardugo
"He thought of Inej's hand on his cheek. His mind had gone jagged at the sensation, a riot of confusion. It had been terror and disgust and- in all of that clamour- desire, a wish that lingered still, the hope that she would touch him again.",Leigh Bardugo,leigh-bardugo
"When one plan was blown, you made a new one. When they backed you in to a corner, you cut a hole in the roof.",Leigh Bardugo,leigh-bardugo
"If fate doesn't give us the chance, we steal it.",Leigh Bardugo,leigh-bardugo
"What is this?"" she asked, her eyes scanning the page. ""It's not..."" She ran her fingertips over the words as if expecting them to vanish. ""My contract."" She whispered. ""I don't want you beholden to Per Haskell. Or me."" Another half-truth. His mind had concocted a hundred schemes to bind her to him, to keep her in this city. But she'd spent enough of her life caged by debts and obligations, and it would be better for them both when she was gone. ""How?"" she said. ""The money-"" ""It's done."" He'd liquidated every asset he had, used the last of the savings he'd accrued, every ill-gotten cent. She pressed the envelope to her chest, above her heart. ""I have no words to thank you for this."" ""Surely the Suli have a thousand words for such an occasion?"" ""Words have not been invented for such an occasion."" ""If I end up on the gallows, you can say something nice over the corpse,"" he said.",Leigh Bardugo,leigh-bardugo
