Quote,Author,Tag
The public is wonderfully tolerant. It forgives everything except genius.,Oscar Wilde,Dark Academia
"Certainly the most destructive vice if you like, that a person can have. More than pride, which is supposedly the number one of the cardinal sins - is self pity. Self pity is the worst possible emotion anyone can have. And the most destructive. It is, to slightly paraphrase what Wilde said about hatred, and I think actually hatred's a subset of self pity and not the other way around - ' It destroys everything around it, except itself '. Self pity will destroy relationships, it'll destroy anything that's good, it will fulfill all the prophecies it makes and leave only itself. And it's so simple to imagine that one is hard done by, and that things are unfair, and that one is underappreciated, and that if only one had had a chance at this, only one had had a chance at that, things would have gone better, you would be happier if only this, that one is unlucky. All those things. And some of them may well even be true. But, to pity oneself as a result of them is to do oneself an enormous disservice. I think it's one of things we find unattractive about the american culture, a culture which I find mostly, extremely attractive, and I like americans and I love being in america. But, just occasionally there will be some example of the absolutely ravening self pity that they are capable of, and you see it in their talk shows. It's an appalling spectacle, and it's so self destructive. I almost once wanted to publish a self help book saying 'How To Be Happy by Stephen Fry : Guaranteed success'. And people buy this huge book and it's all blank pages, and the first page would just say - ' Stop Feeling Sorry For Yourself - And you will be happy '. Use the rest of the book to write down your interesting thoughts and drawings, and that's what the book would be, and it would be true. And it sounds like 'Oh that's so simple', because it's not simple to stop feeling sorry for yourself, it's bloody hard. Because we do feel sorry for ourselves, it's what Genesis is all about.",Stephen Fry,Dark Academia
"How you can sit there, calmly eating muffins when we are in this horrible trouble, I can’t make out. You seem to me to be perfectly heartless."" ""Well, I can’t eat muffins in an agitated manner. The butter would probably get on my cuffs. One should always eat muffins quite calmly. It is the only way to eat them."" ""I say it’s perfectly heartless your eating muffins at all, under the circumstances.",Oscar Wilde,Dark Academia
A man who does not think for himself does not think at all.,Oscar Wilde,Dark Academia
Hearts Live By Being Wounded,Oscar Wilde,Dark Academia
"It is perfectly monstrous,' he said, at last, 'the way people go about nowadays saying things against one behind one's back that are absolutely and entirely true.",Oscar Wilde,Dark Academia
I am an unspeakable of the Oscar Wilde sort.,E.M. Forster,Dark Academia
It is the stupid and the ugly who have the best of it in this world,Oscar Wilde,Dark Academia
"Appearance blinds, whereas words reveal.",Oscar Wilde,Dark Academia
She...can talk brillantly upon any subject provided she knows nothing about it.,Oscar Wilde,Dark Academia
I drink to separate my body from my soul.,Oscar Wilde,Dark Academia
"The ugly and stupid have the best of it in this world. They can sit at their ease and gape at the play. If they know nothing of victory, they are at least spared the knowledge of defeat. They live as we all should live-- undisturbed, indifferent, and without disquiet. They never bring ruin upon others, nor ever receive it from alien hands. Your rank and wealth, Henry; my brains, such as they are-- my art, whatever it may be worth; Dorian Gray's good looks-- we shall all suffer for what the gods have given us, suffer terribly.",Oscar Wilde,Dark Academia
I'm a man of simple tastes. I'm always satisfied with the best.,Oscar Wilde,Dark Academia
America has never quite forgiven Europe for having been discovered somewhat earlier in history than itself.,Oscar Wilde,Dark Academia
She lives the poetry she cannot write.,Oscar Wilde,Dark Academia
"I find him in the curves of certain lines, in the loveliness and subtleties of certain colours.",Oscar Wilde,Dark Academia
"You told me you had destroyed it."" ""I was wrong. It has destroyed me.",Oscar Wilde,Dark Academia
"[On Oscar Wilde:] ""If, with the literate, I am Impelled to try an epigram, I never seek to take the credit; We all assume that Oscar said it. [ Life Magazine, June 2, 1927]",Dorothy Parker,Dark Academia
Anybody can make history; only a great man can write it.,Oscar Wilde,Dark Academia
"As for believing things, I can believe anything, provided that it is quite incredible.",Oscar Wilde,Dark Academia
Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope.,Oscar Wilde,Dark Academia
She lives in the poetry she cannot write.,Oscar Wilde,Dark Academia
because to influence a person is to give one's own soul.,Oscar Wilde,Dark Academia
Fashion is what one wears oneself. What is unfashionable is what other people wear. Just as vulgarity is simply the conduct of other people. And falsehoods the truths of other people. Other people are quite dreadful. The only possible society is oneself. To love oneself is the beginning of a life-long romance.,Oscar Wilde,Dark Academia
"I asked the question for the best reason possible, for the only reason, indeed, that excuses anyone for asking any question - simple curiosity.",Oscar Wilde,Dark Academia
"Never mind what I say. I am always saying what I shouldn't say. In fact, I usually say what I really think. A great mistake nowadays. It makes one so liable to be misunderstood.",Oscar Wilde,Dark Academia
"Reading the very best writers—let us say Homer, Dante, Shakespeare, Tolstoy—is not going to make us better citizens. Art is perfectly useless, according to the sublime Oscar Wilde, who was right about everything. He also told us that all bad poetry is sincere. Had I the power to do so, I would command that these words be engraved above every gate at every university, so that each student might ponder the splendor of the insight.",Harold Bloom,Dark Academia
"Travel improves the mind wonderfully, and does away with all one’s prejudices.",Oscar Wilde,Dark Academia
Oscar Wilde said that sunsets were not valued because we could not pay for sunsets. But Oscar Wilde was wrong; we can pay for sunsets. We can pay for them by not being Oscar Wilde.,G.K. Chesterton,Dark Academia
"Anybody can have common sense, povided that they have no imagination",Oscar Wilde,Dark Academia
"Every single human being should be the fulfilment of a prophecy: for every human being should be the realisation of some ideal, either in the mind of God or in the mind of man.",Oscar Wilde,Dark Academia
Selfishness is not living as one wishes to live. It is asking other people to live as one wishes to live.,Oscar Wilde,Dark Academia
"Well, I don't like your clothes. You look perfectly ridiculous in them. Why on earth don't you go up and change? It's perfectly childish to be in mourning for a man who is actually staying a whole week with you in your house as a guest. I call it grotesque.",Oscar Wilde,Dark Academia
"I can now recreate life in a way that was hidden from me, before.'A dream of form in days of thought:",Oscar Wilde,Dark Academia
"I love talking about nothing, father. It is the only thing I know anything about.",Oscar Wilde,Dark Academia
"Oscar Wilde: ""I wish I had said that."" Whistler: ""You will, Oscar; you will.",James McNeill Whistler,Dark Academia
"Nowadays, people read too many books to appreciate any.",Oscar Wilde,Dark Academia
Be kind. It will reveal your true inner beauty.,Debasish Mridha,Dark Academia
Don’t think about the possibilities of failing. Never forget to think about the possibilities of flying.,Debasish Mridha,Dark Academia
I want to paint the rest of my days with the best colors.,Debasish Mridha,Dark Academia
"So he was queer, E.M. Forster. It wasn't his middle name (that would be 'Morgan'), but it was his orientation, his romping pleasure, his half-secret, his romantic passion. In the long-suppressed novel Maurice the title character blurts out his truth, 'I'm an unspeakable of the Oscar Wilde sort.' It must have felt that way when Forster came of sexual age in the last years of the 19th century: seriously risky and dangerously blurt-able. The public cry had caught Wilde, exposed and arrested him, broken him in prison. He was one face of anxiety to Forster; his mother was another. As long as she lived (and they lived together until she died, when he was 66), he couldn't let her know.",Michael Levenson,Dark Academia
"A man's life is of more value than a woman's. It has larger issues, wider scope, greater ambitions. Our lives revolve in curves of emotions. It is upon lines of intellect that a man's life progresses. I have just learnt this, and much else with it, from Lord Goring. And I will not spoil your life for you, nor see you spoil it as a sacrifice to me, a useless sacrifice.",Oscar Wilde,Dark Academia
"Now, I have always wanted to agree with Lady Bracknell that there is no earthly use for the upper and lower classes unless they set each other a good example. But I shouldn't pretend that the consensus itself was any of my concern. It was absurd and slightly despicable, in the first decade of Thatcher and Reagan, to hear former and actual radicals intone piously against 'the politics of confrontation.' I suppose that, if this collection has a point, it is the desire of one individual to see the idea of confrontation kept alive.",Christopher Hitchens,Dark Academia
"It is not he who is revealed by the painter; it is rather the painter, who on the coloured canvas, reveals himself.",Oscar Wilde,Dark Academia
He would never again tempt innocence. He would be good.,Oscar Wilde,Dark Academia
"When in Reading Gaol he told me that the warders in the dock had been gentle and kind, but the visit of the chaplain in his first prison began with these words: 'Mr. Wilde, did you have morning prayers in your house?' 'I am sorry... I fear not.' 'You see where you are now!",Charles Ricketts,Dark Academia
"Photographs are the reflection of untold stories, unseen beauties, unexpressed emotions, and the unheard songs of life.",Debasish Mridha,Dark Academia
Appreciation has tremendous power. A beautiful thing is not beautiful until someone appreciates it.,Debasish Mridha,Dark Academia
