Quote,Author,Tag
"You don’t know who you’re dealing with.” She leaned down close until her lips brushed his skin, until her breath scorched the side of his face. “I’m not Sinegardian elite. I’m that savage mud-skinned Speerly bitch that wiped a country off the map. And sometimes when I get a little too angry, I snap.",R.F. Kuang,r-f-kuang
"Theirs was a bond forged from necessity, hurt, and a shared, intimate understanding of hell.",R.F. Kuang,r-f-kuang
"You poor thing,"" she said. ""What are you talking about?"" he asked. She just hugged him tighter. She didn't want this moment to end. She didn't want to have to go. ""I just don't want the world to break you.",R.F. Kuang,r-f-kuang
He had the mathematics of fighting down to a science.,R. F. Kuang,r-f-kuang
"« But academics by nature are a solitary, sedentary lot. Travels sounds fun until you realize what you really want is to stay at home with a cup of tea and a stack of books by a warm fire. » - R.F. Kuang, Babel or the necessity of violence",R.F Kuang,r-f-kuang
Never trust someone who holds all the cards.,Rebecca F. Kuang,r-f-kuang
An act of translation is always an act of betrayal.,R. F. Kuang,r-f-kuang
"Translation, from time immemorial, has been the facilitator of peace. Translation makes possible communication, which turn makes possible the kind of diplomacy, trade, and cooperation between foreign peoples that brings wealth and prosperity to all.’ (…) ‘And you, like Psammetichus’s boys, are the tongues that will speak this vision of global harmony into being.’ (…) ‘ After all, we’re here to make the unknown known, to make the other familiar. We’re here to make magic with words.’ - Professor Playfair, Page 81 from R.F. Kuang, Babel",R.F Kuang,r-f-kuang
Her best advantage was her unpredictability.,R.F. Kuang,r-f-kuang
"« And Robin, watching the still quivering bar, saw clearly now that it wad all worth it. The loneliness, the beatings, the long and aching hours of study, the ingesting of languages like bitter tonic so that he could one day do this- it was all worth it. » - Page 83, Babel by R.F. Kuang",R.F Kuang,r-f-kuang
"Because Rin and Kitay were bonded in a way that he could never understand, and there was no world where Rin died and Kitay remained alive.",R. F. Kuang,r-f-kuang
